folder,offset_file,original_file,comparison_type,device,true_offset,config,bins,method,estimated_offset,error,abs_error,rel_error,same_instrument,processing_time
A,guitar_offset_336ms_with_Laptop_-_Microphone.wav,master.wav,master,Laptop_-_Microphone,336.0,default,84,CorrelationRecognizer,0.0,-336.0,336.0,100.0,False,9.95
A,guitar_offset_336ms_with_Laptop_-_Microphone.wav,master.wav,master,Laptop_-_Microphone,336.0,default,84,CorrelationSpectrogramRecognizer,0.0,-336.0,336.0,100.0,False,12.67
A,guitar_offset_336ms_with_Laptop_-_Microphone.wav,master.wav,master,Laptop_-_Microphone,336.0,higher_res,96,FingerprintRecognizer,0.0,-336.0,336.0,100.0,False,49.47
A,guitar_offset_336ms_with_Laptop_-_Microphone.wav,master.wav,master,Laptop_-_Microphone,336.0,higher_res,96,CorrelationRecognizer,0.0,-336.0,336.0,100.0,False,9.44
A,guitar_offset_336ms_with_Laptop_-_Microphone.wav,master.wav,master,Laptop_-_Microphone,336.0,higher_res,96,CorrelationSpectrogramRecognizer,0.0,-336.0,336.0,100.0,False,11.88
A,guitar_offset_336ms_with_Laptop_-_Microphone.wav,master.wav,master,Laptop_-_Microphone,336.0,lower_res,48,FingerprintRecognizer,0.0,-336.0,336.0,100.0,False,49.48
A,guitar_offset_336ms_with_Laptop_-_Microphone.wav,master.wav,master,Laptop_-_Microphone,336.0,lower_res,48,CorrelationRecognizer,0.0,-336.0,336.0,100.0,False,8.99
A,guitar_offset_336ms_with_Laptop_-_Microphone.wav,master.wav,master,Laptop_-_Microphone,336.0,lower_res,48,CorrelationSpectrogramRecognizer,0.0,-336.0,336.0,100.0,False,12.71
A,guitar_offset_336ms_with_Laptop_-_Microphone.wav,guitar.wav,original,Laptop_-_Microphone,336.0,default,84,FingerprintRecognizer,0.0,-336.0,336.0,100.0,True,41.78
A,guitar_offset_336ms_with_Laptop_-_Microphone.wav,guitar.wav,original,Laptop_-_Microphone,336.0,default,84,CorrelationRecognizer,0.0,-336.0,336.0,100.0,True,9.37
A,guitar_offset_336ms_with_Laptop_-_Microphone.wav,guitar.wav,original,Laptop_-_Microphone,336.0,default,84,CorrelationSpectrogramRecognizer,0.0,-336.0,336.0,100.0,True,12.37
A,guitar_offset_336ms_with_Laptop_-_Microphone.wav,guitar.wav,original,Laptop_-_Microphone,336.0,higher_res,96,FingerprintRecognizer,0.0,-336.0,336.0,100.0,True,39.22
A,guitar_offset_336ms_with_Laptop_-_Microphone.wav,guitar.wav,original,Laptop_-_Microphone,336.0,higher_res,96,CorrelationRecognizer,0.0,-336.0,336.0,100.0,True,9.39
A,guitar_offset_336ms_with_Laptop_-_Microphone.wav,guitar.wav,original,Laptop_-_Microphone,336.0,higher_res,96,CorrelationSpectrogramRecognizer,0.0,-336.0,336.0,100.0,True,13.33
A,guitar_offset_336ms_with_Laptop_-_Microphone.wav,guitar.wav,original,Laptop_-_Microphone,336.0,lower_res,48,FingerprintRecognizer,0.0,-336.0,336.0,100.0,True,41.36
A,guitar_offset_336ms_with_Laptop_-_Microphone.wav,guitar.wav,original,Laptop_-_Microphone,336.0,lower_res,48,CorrelationRecognizer,0.0,-336.0,336.0,100.0,True,9.5
